#Turn	Emit_x
-1	3.426946e-06
0	3.462394e-06
1	3.464870e-06
2	3.391564e-06
3	3.401116e-06
4	3.435394e-06
5	3.356267e-06
6	3.352767e-06
7	3.413716e-06
8	3.341034e-06
9	3.340093e-06
10	3.413554e-06
11	3.354376e-06
12	3.369699e-06
13	3.434379e-06
14	3.388316e-06
15	3.429194e-06
16	3.461656e-06
17	3.422555e-06
18	3.493889e-06
19	3.475031e-06
20	3.435689e-06
21	3.539308e-06
22	3.459868e-06
23	3.417405e-06
24	3.552859e-06
25	3.415743e-06
26	3.374908e-06
27	3.538636e-06
28	3.357169e-06
29	3.329976e-06
30	3.513206e-06
31	3.306166e-06
32	3.308244e-06
33	3.495243e-06
34	3.280898e-06
35	3.326580e-06
36	3.494958e-06
37	3.286560e-06
38	3.385083e-06
39	3.508886e-06
40	3.313242e-06
41	3.467407e-06
42	3.522296e-06
43	3.341589e-06
44	3.548662e-06
45	3.517461e-06
46	3.353113e-06
47	3.606601e-06
48	3.483235e-06
49	3.339767e-06
50	3.630624e-06
51	3.421065e-06
52	3.308027e-06
53	3.624578e-06
54	3.344620e-06
55	3.275746e-06
56	3.602759e-06
57	3.273632e-06
58	3.263788e-06
59	3.581809e-06
60	3.225338e-06
61	3.286814e-06
62	3.572804e-06
63	3.207694e-06
64	3.347429e-06
65	3.576978e-06
66	3.217135e-06
67	3.435722e-06
68	3.586343e-06
69	3.241230e-06
70	3.533595e-06
71	3.588119e-06
72	3.264514e-06
73	3.621516e-06
74	3.570572e-06
75	3.274726e-06
76	3.684811e-06
77	3.527747e-06
78	3.266999e-06
79	3.717333e-06
80	3.461441e-06
81	3.244695e-06
82	3.721699e-06
83	3.380125e-06
84	3.217185e-06
85	3.706715e-06
86	3.295768e-06
87	3.195961e-06
88	3.683551e-06
89	3.220120e-06
90	3.190850e-06
91	3.662226e-06
92	3.161828e-06
93	3.207559e-06
94	3.649459e-06
95	3.125092e-06
96	3.246979e-06
97	3.648079e-06
98	3.109822e-06
99	3.305939e-06
100	3.657662e-06
101	3.112771e-06
102	3.378720e-06
103	3.675778e-06
104	3.129048e-06
105	3.458717e-06
106	3.699309e-06
107	3.153491e-06
108	3.539779e-06
109	3.725491e-06
110	3.181652e-06
111	3.617039e-06
112	3.752534e-06
113	3.210307e-06
114	3.687254e-06
115	3.779855e-06
116	3.237600e-06
117	3.748747e-06
118	3.808025e-06
119	3.262933e-06
120	3.801124e-06
121	3.838562e-06
122	3.286763e-06
123	3.844894e-06
124	3.873667e-06
125	3.310385e-06
126	3.881083e-06
127	3.915947e-06
128	3.335743e-06
129	3.910870e-06
130	3.968102e-06
131	3.365236e-06
132	3.935218e-06
133	4.032510e-06
134	3.401432e-06
135	3.954423e-06
136	4.110571e-06
137	3.446594e-06
138	3.967500e-06
139	4.201681e-06
140	3.501923e-06
141	3.971398e-06
142	4.301797e-06
143	3.566597e-06
144	3.960281e-06
145	4.401831e-06
146	3.637004e-06
147	3.925570e-06
148	4.486686e-06
149	3.707017e-06
150	3.858068e-06
151	4.536526e-06
152	3.770548e-06
153	3.753659e-06
154	4.532201e-06
155	3.827222e-06
156	3.622396e-06
