#ParticleID	Turn	x[m]	xp	y[m]	yp	z[m]	dE[GeV]
0	-1	0.005000	0.000000	0.000000	0.000000	100.517169	0.000000
0	-1	0.005000	0.000000	0.000000	0.000000	100.517169	0.000000
0	0	0.002274	-0.000842	0.000000	0.000000	100.514576	-0.000000
0	1	-0.007685	0.000994	0.000000	0.000000	100.514821	-0.000000
0	2	0.006788	-0.000329	0.000000	0.000000	100.516849	-0.000000
0	3	-0.000324	-0.000604	0.000000	0.000000	100.513880	-0.000000
0	4	-0.006408	0.001043	0.000000	0.000000	100.514969	-0.000000
0	5	0.007878	-0.000625	0.000000	0.000000	100.516211	-0.000000
0	6	-0.002889	-0.000305	0.000000	0.000000	100.513157	-0.000000
0	7	-0.004473	0.000985	0.000000	0.000000	100.514965	-0.000000
0	8	0.008159	-0.000856	0.000000	0.000000	100.515276	-0.000000
0	9	-0.005159	0.000027	0.000000	0.000000	100.512433	-0.000000
0	10	-0.002077	0.000826	0.000000	0.000000	100.514754	-0.000000
0	11	0.007603	-0.001000	0.000000	0.000000	100.514083	-0.000000
0	12	-0.006901	0.000355	0.000000	0.000000	100.511718	-0.000000
0	13	0.000531	0.000582	0.000000	0.000000	100.514288	-0.000000
0	14	0.006267	-0.001041	0.000000	0.000000	100.512677	-0.000000
0	15	-0.007935	0.000647	0.000000	0.000000	100.511006	-0.000000
0	16	0.003084	0.000279	0.000000	0.000000	100.513528	-0.000000
0	17	0.004287	-0.000975	0.000000	0.000000	100.511111	-0.000000
0	18	-0.008154	0.000873	0.000000	0.000000	100.510272	-0.000000
0	19	0.005320	-0.000053	0.000000	0.000000	100.512452	-0.000000
0	20	0.001868	-0.000809	0.000000	0.000000	100.509438	-0.000000
0	21	-0.007536	0.001009	0.000000	0.000000	100.509478	-0.000000
0	22	0.007008	-0.000379	0.000000	0.000000	100.511051	-0.000000
0	23	-0.000744	-0.000560	0.000000	0.000000	100.507705	-0.000000
0	24	-0.006143	0.001041	0.000000	0.000000	100.508576	-0.000000
0	25	0.007975	-0.000666	0.000000	0.000000	100.509333	-0.000000
0	26	-0.003281	-0.000253	0.000000	0.000000	100.505951	-0.000000
