#	Qy	beta_x_ptc	beta_x	beta_x_eff	beta_y_ptc	beta_y	beta_y_eff	alpha_x_ptc	alpha_x	alpha_x_eff	alpha_y_ptc	alpha_y	alpha_y_eff	D_x_ptc	D_x	D_y_ptc	D_y
6.1	11.83456792	11.490481822496944	15.742588470489675	24.92373871	28.999917428761425	28.999919712242235	0.011513	0.020334047759209967	0.01273706231725057	-0.015862	-0.07957144076563083	-0.07957137462321337	2.858624854	2.7239011236865607	0.0	-0.0002658445390060452
6.11	11.87596148	11.554062111558155	15.782196301239129	24.42660692	28.109808099093232	28.109805543404963	0.01069	0.01902477646400081	0.011894689703579096	-0.00566	-0.06342267545912333	-0.06342264494847079	2.844314013	2.7120659891237717	0.0	-0.00030681421670726165
6.12	11.91741726	11.618756985457178	15.799190124391691	24.02924164	27.33834474793896	27.338342122786184	0.009857	0.017708341150453152	0.011056357217751731	0.002752	-0.04897677434485607	-0.04897674063973438	2.829919074	2.69991106934043	0.0	0.00012887839336257572
6.13	11.95887931	11.685475662925764	15.826837934246127	23.70631133	26.62080224457714	26.62080470896608	0.009017	0.016359681505136506	0.010185993706704912	0.009781	-0.035534406696907064	-0.03553440549896393	2.815459752	2.6869780691551477	0.0	-0.0012899538129660343
6.14	12.00030736	11.749889987800925	15.866088380891712	23.44016924	26.031186325167308	26.03118531164612	0.00817	0.015056115998872285	0.009329863065942218	0.015724	-0.02399282898347294	-0.023992859405254294	2.800950597	2.673970273575188	0.0	-0.0015949822726352505
6.15	12.04167193	11.814288121891616	15.891020086385703	23.21815984	25.537530932638553	25.53752914339143	0.007316	0.013750484193161291	0.008478964789528221	0.020797	-0.013936616990534605	-0.013936593239202974	2.786402598	2.6602779517317394	0.0	-0.00036471763031807147
6.16	12.08295116	11.880688066541975	15.921129094105043	23.03097747	25.028764458500955	25.02876261254246	0.006457	0.012408054330818189	0.007608399280559386	0.025166	-0.0038249933639509324	-0.003824975433717929	2.771824228	2.646050617700792	0.0	0.0001479408117502808
6.17	12.12412865	11.948563325203745	15.985969996167821	22.87162883	24.580309560633122	24.580308144075797	0.005594	0.011015156463160923	0.006702078969628451	0.028959	0.005201006022385841	0.005201012434235481	2.757222142	2.6307145661293974	0.0	0.0003046262337546752
6.18	12.16519202	12.019668268127548	15.990379999479003	22.7347561	24.16215354403676	24.162152420845942	0.004726	0.009549552797124534	0.0057426511977917115	0.032276	0.013591967263294358	0.0135919756700346	2.742601663	2.615357588825891	0.0	2.555582793318051e-06
6.19	12.20613183	12.087811900368237	16.032929858680397	22.61618278	23.822142949637307	23.822141869877278	0.003854	0.008151936196183061	0.00481622785685662	0.035195	0.020583887175858805	0.02058389236015138	2.727967112	2.599948098769653	0.0	4.6128931543104295e-05
6.2	12.24694093	12.15671704895536	16.075862784621478	22.51260139	23.529988557695972	23.52998767258472	0.002979	0.006727856762759095	0.0038758722763278896	0.03778	0.026621108102304003	0.026621117714297284	2.71332205	2.583924834230184	0.0	0.00013553345979178198
6.21	12.28761386	12.221565580821515	16.153638570499467	22.42135386	23.28323014230907	23.28322935948764	0.002101	0.005417536533200438	0.002990672156528348	0.040084	0.03174516712012324	0.03174517313249583	2.698669456	2.5685159914323807	0.0	8.568243923755582e-05
6.22	12.32814649	12.28695014806264	16.272277532146614	22.34027393	23.06936757459206	23.069366955607173	0.001221	0.004079223274940416	0.0020927649687338093	0.04215	0.03616335741994369	0.036163360439481165	2.684011849	2.5524175883188427	0.0	-1.584436706414508e-05
6.23	12.36853572	12.351767333781599	16.366693040075504	22.26757179	22.898297859519822	22.898297430188517	0.000338	0.0027451872978839567	0.0012081960987304354	0.044012	0.03981343649731496	0.039813439534476226	2.66935139	2.536529842894544	0.0	-3.082837853957965e-06
6.24	12.40877927	12.417777686055619	16.36943403857172	22.20174814	22.764966995779403	22.764966686129075	-0.000546	0.0013899106595886483	0.00030390259636775996	0.045702	0.04282682194584389	0.04282682464852248	2.654689951	2.5203370587184644	0.0	4.188594056641671e-06
