#	Qy	beta_x_ptc	beta_x	beta_x_eff	beta_y_ptc	beta_y	beta_y_eff	alpha_x_ptc	alpha_x	alpha_x_eff	alpha_y_ptc	alpha_y	alpha_y_eff	D_x_ptc	D_x	D_y_ptc	D_y
6.1	11.83456792	11.491943751833187	15.745372684722193	24.92373871	28.966349322339266	28.966347797325106	0.011513	0.020298271491198307	0.01271460239134369	-0.015862	-0.079060669664026	-0.07906066066523186	2.858624854	2.723760467797512	0.0	-1.313310263040422e-05
6.11	11.87596148	11.555973881215806	15.762737432501883	24.42660692	28.083825194045566	28.083824843324514	0.01069	0.018984454567204254	0.011875873014154324	-0.00566	-0.0630166850932808	-0.0630166692649314	2.844314013	2.7120604172026592	0.0	-0.00033194423633999725
6.12	11.91741726	11.618306322789449	15.818431074377326	24.02924164	27.331763572335948	27.33176260770205	0.009857	0.01771403474488233	0.011047543898976024	0.002752	-0.04888939758937564	-0.04888935969072712	2.829919074	2.6997717602745017	0.0	0.0001495889996989412
6.13	11.95887931	11.68375356894792	15.855031971001905	23.70631133	26.63277095204412	26.63277485737794	0.009017	0.01640068176819687	0.010193765372539973	0.009781	-0.03572822935617166	-0.035728222442468496	2.815459752	2.686971554161715	0.0	0.0005217027024977713
6.14	12.00030736	11.74914614123842	15.895746465630925	23.44016924	26.04785377774283	26.0478558186429	0.00817	0.01506723950859554	0.009329871409054906	0.015724	-0.024214276839293433	-0.02421422697282101	2.800950597	2.6734746489779435	0.0	0.0002817133191749777
6.15	12.04167193	11.812354788694863	15.919138130133081	23.21815984	25.542198825177493	25.54219844794027	0.007316	0.013797888082066473	0.008501445950784751	0.020797	-0.0140122753910806	-0.014012270750839606	2.786402598	2.660236711291705	0.0	0.0004559014150356207
6.16	12.08295116	11.880332726718676	15.948694376454853	23.03097747	25.03170479225191	25.031702657184255	0.006457	0.012410574637074017	0.007603687932785812	0.025166	-0.0038697946352871646	-0.0038697672522950434	2.771824228	2.6456614776311023	0.0	2.1946942029225323e-05
6.17	12.12412865	11.94935620044051	15.984718237307973	22.87162883	24.56559715073312	24.56559577145675	0.005594	0.010995405615853342	0.006685310899217001	0.028959	0.005446904987208721	0.005446918306352623	2.757222142	2.6306217969953862	0.0	-0.0001761435788977
6.18	12.16519202	12.019321943236573	16.00408352879739	22.7347561	24.163814589525458	24.163813369368462	0.004726	0.00955523196613891	0.005737029877207512	0.032276	0.013571483813517991	0.013571499813194134	2.742601663	2.61526583064202	0.0	-0.00016890107075644777
6.19	12.20613183	12.08769798374507	16.048437805505724	22.61618278	23.821007682128847	23.821006627700097	0.003854	0.008149616401621323	0.00481090679058623	0.035195	0.020599832794787193	0.020599840753068966	2.727967112	2.5997740353734016	0.0	7.057072694574388e-06
6.2	12.24694093	12.155599982072777	16.08156613817719	22.51260139	23.535579752392806	23.53557881636306	0.002979	0.006759082681403677	0.0038955019038378097	0.03778	0.02653946219548275	0.02653947294356192	2.71332205	2.584244764858646	0.0	3.881063328059193e-05
6.21	12.28761386	12.22170738914296	16.17276613758887	22.42135386	23.283266949476975	23.283266320221067	0.002101	0.005403966451627431	0.0029784006431824574	0.040084	0.03175086261020439	0.03175087181715991	2.698669456	2.5682652766267893	0.0	1.5252949791273754e-05
6.22	12.32814649	12.286740188092852	16.29232531169482	22.34027393	23.067453798220967	23.06745319220703	0.001221	0.004077691985315266	0.00209528153722094	0.04215	0.03618629160911771	0.036186295253486336	2.684011849	2.5523423655094355	0.0	1.3934960567561543e-05
6.23	12.36853572	12.351796475509348	16.368473139540303	22.26757179	22.90138320673995	22.901382879717517	0.000338	0.002748938626205108	0.0012132620266863486	0.044012	0.03978227146785652	0.03978227373005017	2.66935139	2.536514696306405	0.0	1.4407597632426002e-05
6.24	12.40877927	12.41748408002543	16.39677664394556	22.20174814	22.76692573333333	22.76692536117605	-0.000546	0.0013992170943370773	0.00031814812346370614	0.045702	0.042805945866607666	0.04280594866212061	2.654689951	2.5203622749530195	0.0	2.2715739663715278e-05
