#	Qy	beta_x_ptc	beta_x	beta_x_eff	beta_y_ptc	beta_y	beta_y_eff	alpha_x_ptc	alpha_x	alpha_x_eff	alpha_y_ptc	alpha_y	alpha_y_eff	D_x_ptc	D_x	D_y_ptc	D_y
6.1	12.795	11.149702470547695	15.155195452476661	22.226	28.0374190201863	28.037423724186255	-0.006969	0.0294973381852374	0.017831884912180455	0.059026	-0.06481941951220764	-0.06481946999633016	2.542529021	2.793388516157619	0.0	0.0007605532853988119
6.11	12.792	11.204442838956492	15.172122081981243	22.216	27.286348530806855	27.286356992516414	-0.007001	0.028413531537550947	0.017222262045525197	0.05864	-0.050635449024496515	-0.05063467289935833	2.54230112	2.7843484518420087	0.0	0.00030529983184344014
6.12	12.78866016	11.287738943374375	15.119777603151913	22.20287682	26.617459854909534	26.61745787827876	-0.007032	0.026637337511109725	0.016223853068672956	0.058305	-0.03764757972654395	-0.03764750802966704	2.542073286	2.774208681283256	0.0	-0.0005635647889928415
6.13	12.78549301	11.356205549826454	15.185110304874161	22.18837837	26.091380406619745	26.091378934296667	-0.007063	0.025218637857131864	0.015337318804212954	0.0580095	-0.02694429477872468	-0.026944278480201915	2.541845521	2.762365706505582	0.0	-0.000526679245182431
6.14	12.78232607	11.444321122310939	15.205752374749231	22.17243442	25.558014363082396	25.55801385694184	-0.007095	0.023295390280221106	0.01414419722749166	0.057745	-0.01611391916657048	-0.016113799291593914	2.541617825	2.7497653909703104	0.0	4.655204226260185e-05
6.15	12.77915936	11.52292923484983	15.30948023231497	22.15534784	25.133439064144213	25.13343868794643	-0.007126	0.021614897943556945	0.013067706908318695	0.057507	-0.007129315682294864	-0.007129354535133827	2.541390199	2.73551758058391	0.0	-2.2049153727616687e-06
6.16	12.77599288	11.598659426371897	15.303310157227026	22.13734538	24.839485614677645	24.839484898302416	-0.007157	0.0201017922234437	0.012146973989768302	0.057291	-0.0002570645991458755	-0.00025704328210709906	2.541162643	2.7229095244610484	0.0	-0.00020954207247299807
6.17	12.77282664	11.660017239811763	15.363988236292192	22.11859993	24.628316801674384	24.62831630154749	-0.007188	0.018986581219360338	0.011458362613031575	0.057093	0.005206268140734946	0.005206270429116851	2.540935158	2.7094602318737584	0.0	5.587911776646401e-05
6.18	12.76966065	11.743884526700938	15.395639381303672	22.09924535	24.389512102832178	24.3895127982738	-0.00722	0.017739956839869463	0.010690955681261551	0.056912	0.010415762497923144	0.010415769538386048	2.540707745	2.695596797160529	0.0	0.00023267130775154514
6.19	12.76649491	11.836598489052728	15.408385738984762	22.07938659	24.17001414389418	24.17001557189708	-0.007251	0.015996601648105162	0.009488727620157976	0.056746	0.015757252326885355	0.015757251322001675	2.540480403	2.6826748988176967	0.0	0.001130906649798018
6.2	12.76332945	11.908970777969877	15.52113917264557	22.05910677	24.00820402688211	24.00820164497476	-0.007282	0.01482806365355263	0.008715495460121273	0.056592	0.020070647558306672	0.020070539607307012	2.540253134	2.669451229448578	0.0	0.0007124888518386455
6.21	12.76016425	11.988258168350253	15.576469071396026	22.03847225	23.850665574207916	23.850671501139715	-0.007314	0.013326940862277958	0.007780105449052992	0.056449	0.024498086237592788	0.02449791849613444	2.540025937	2.6540470842581643	0.0	-0.0012055411015090165
6.22	12.75699934	12.068083458323315	15.666328976051592	22.01753625	23.696647464298195	23.69664851461289	-0.007345	0.011930094481992415	0.00693652625295719	0.056316	0.028641968267346857	0.028641960849123203	2.539798815	2.6378317188483082	0.0	-0.00010147331705603706
6.23	12.75383472	12.190994384029635	15.41415775505471	21.9963415	23.407490511074343	23.40748999239523	-0.007376	0.00826292509889275	0.004663271921340511	0.056193	0.03452365918193497	0.03452366770404669	2.539571766	2.6115938331164914	0.0	-7.365411168446574e-05
6.24	12.7506704	12.261544505900092	15.808269401871252	21.97492223	23.360477841120534	23.360477142172417	-0.007408	0.008076797027939411	0.004398607408235899	0.056078	0.036909191489530015	0.03690917002064054	2.539344792	2.603073292992773	0.0	0.0003446719335536785
