0.0	50926572.18462217
0.01	55303105.00295544
0.02	60567739.08625734
0.03	66670475.79103446
0.04	73546733.73394978
0.05	81140912.90566742
0.06	89483583.75354254
0.07	98675417.93534303
0.08	108767661.84281325
0.09	119864182.71897912
0.1	132079156.35397756
0.11	145514548.1327777
0.12	160273137.06948566
0.13	176422970.51820564
0.14	194072352.43560672
0.15	213328124.91140175
0.16	234257652.16767716
0.17	256927097.5331614
0.18	281393286.1920538
0.19	307709264.51866007
0.2	335924290.65766454
0.21	366078645.69687533
0.22	398261156.38562155
0.23	432652851.43539953
0.24	469193730.7292421
0.25	507524711.6503558
0.26	547585071.9787457
0.27	589325315.8718631
0.28	632387228.111763
0.29	676552062.801861
0.3	721658878.8616335
0.31	767563894.2962394
0.32	814228707.7645452
0.33	861670143.0619514
0.34	909905480.7973368
0.35	958527036.3077359
0.36	1006684486.3875802
0.38	1101197498.3776488
0.39	1146914177.107768
0.4	1190389996.420265
0.41	1230951155.0085912
0.42	1267965230.3508358
0.43	1301382398.7593813
0.44	1331110200.932921
0.45	1357295018.4339314
0.46	1377403531.5452871
0.47	1389688728.1436992
0.48	1397063786.9324737
0.49	1400000000.1685114
0.53	1400000000.1685114
