           0  2.8676887E-03
           1  2.4247698E-03
           2  2.0866366E-03
           3  1.8280966E-03
           4  1.6299143E-03
           5  1.4772962E-03
           6  1.3591438E-03
           7  1.2678284E-03
           8  1.1965628E-03
           9  1.1396502E-03
          10  1.0929949E-03
          11  1.0539137E-03
          12  1.0206286E-03
          13  9.9189056E-04
          14  9.6678955E-04
          15  9.4469084E-04
          16  9.2512462E-04
          17  9.0769865E-04
          18  8.9206360E-04
          19  8.7794149E-04
          20  8.6513470E-04
          21  8.5347041E-04
          22  8.4281078E-04
          23  8.3303743E-04
          24  8.2404295E-04
          25  8.1575284E-04
