           0  2.3630061E-03
           1  1.9565860E-03
           2  1.6468441E-03
           3  1.4087491E-03
           4  1.2244964E-03
           5  1.0813723E-03
           6  9.6923299E-04
           7  8.8079250E-04
           8  8.1035716E-04
           9  7.5341435E-04
          10  7.0665305E-04
          11  6.6756958E-04
          12  6.3434453E-04
          13  6.0571637E-04
          14  5.8082858E-04
          15  5.5900402E-04
          16  5.3972384E-04
          17  5.2260526E-04
          18  5.0733588E-04
          19  4.9365353E-04
          20  4.8136793E-04
          21  4.7030448E-04
          22  4.6030732E-04
          23  4.5125792E-04
          24  4.4304103E-04
          25  4.3557127E-04
