           0  3.4690714E-03
           1  2.4675820E-03
           2  1.8068301E-03
           3  1.3730244E-03
           4  1.0927088E-03
           5  9.1467693E-04
           6  8.0316589E-04
           7  7.3421397E-04
           8  6.9123710E-04
           9  6.6388206E-04
          10  6.4603158E-04
          11  6.3408259E-04
          12  6.2589796E-04
          13  6.2015053E-04
          14  6.1601016E-04
          15  6.1295886E-04
          16  6.1065849E-04
          17  6.0888822E-04
          18  6.0750224E-04
          19  6.0639885E-04
          20  6.0550834E-04
          21  6.0478039E-04
          22  6.0417812E-04
          23  6.0367520E-04
          24  6.0325110E-04
          25  6.0289027E-04
