           0  3.4108262E-03
           1  2.2637397E-03
           2  1.7102937E-03
           3  1.4467783E-03
           4  1.3004699E-03
           5  1.2133113E-03
           6  1.1579774E-03
           7  1.1212879E-03
           8  1.0959408E-03
           9  1.0779494E-03
          10  1.0647868E-03
          11  1.0548942E-03
          12  1.0472968E-03
          13  1.0414043E-03
          14  1.0367781E-03
          15  1.0331044E-03
          16  1.0301293E-03
          17  1.0276819E-03
          18  1.0256610E-03
          19  1.0239633E-03
          20  1.0225255E-03
          21  1.0212897E-03
          22  1.0202172E-03
          23  1.0192840E-03
          24  1.0184654E-03
          25  1.0177481E-03
