#Force	z_diff_mid	z_diff_end
-3.300000e-12	0.062461	0.170223
-3.200000e-12	0.061711	0.167247
-3.100000e-12	0.060960	0.164270
-3.000000e-12	0.060210	0.161293
-2.900000e-12	0.059460	0.158315
-2.800000e-12	0.058710	0.155337
-2.700000e-12	0.057959	0.152358
-2.600000e-12	0.057209	0.149379
-2.500000e-12	0.056458	0.146400
-2.400000e-12	0.055708	0.143420
-2.300000e-12	0.054958	0.140439
-2.200000e-12	0.054207	0.137458
-2.100000e-12	0.053457	0.134477
-2.000000e-12	0.052706	0.131495
-1.900000e-12	0.051956	0.128513
-1.800000e-12	0.051205	0.125531
-1.700000e-12	0.050454	0.122548
-1.600000e-12	0.049704	0.119564
-1.500000e-12	0.048953	0.116580
-1.400000e-12	0.048202	0.113596
-1.300000e-12	0.047452	0.110611
-1.200000e-12	0.046701	0.107626
-1.100000e-12	0.045950	0.104640
-1.000000e-12	0.045199	0.101654
