 21  1  1  0  1
   1
    .00000   .16000000  .008  3.14159
    .00100   .16156116  .008  3.14159
    .00200   .16312827  .008  3.14159
    .00300   .16470131  .008  3.14159
    .00400   .16628024  .008  3.14159
    .00500   .16786504  .008  3.14159
    .00600   .16945569  .008  3.14159
    .00700   .17105215  .008  3.14159
    .00800   .17265442  .008  3.14159
    .00900   .17426245  .008  3.14159
    .01000   .17587624  .008  3.14159
    .01100   .17749574  .008  3.14159
    .01200   .17912094  .008  3.14159
    .01300   .18075180  .008  3.14159
    .01400   .18238832  .008  3.14159
    .01500   .18403046  .008  3.14159
    .01600   .18567819  .008  3.14159
    .01700   .18733150  .008  3.14159
    .01800   .18899036  .008  3.14159
    .01900   .19065474  .008  3.14159
    .02000   .19232462  .008  3.14159
