#Turn	Emit_x
-1	3.494637e-06
0	3.530809e-06
1	3.533086e-06
2	3.458194e-06
3	3.467964e-06
4	3.502488e-06
5	3.421912e-06
6	3.418381e-06
7	3.480023e-06
8	3.406395e-06
9	3.405460e-06
10	3.479846e-06
11	3.420385e-06
12	3.435936e-06
13	3.501375e-06
14	3.455587e-06
15	3.496966e-06
16	3.529571e-06
17	3.491006e-06
18	3.563082e-06
19	3.543425e-06
20	3.504554e-06
21	3.609130e-06
22	3.527890e-06
23	3.485650e-06
24	3.622301e-06
25	3.482630e-06
26	3.441824e-06
27	3.607020e-06
28	3.422702e-06
29	3.395595e-06
30	3.580515e-06
31	3.370832e-06
32	3.373361e-06
33	3.562055e-06
34	3.345640e-06
35	3.392357e-06
36	3.562051e-06
37	3.352280e-06
38	3.452473e-06
39	3.576744e-06
40	3.380313e-06
41	3.536685e-06
42	3.590798e-06
43	3.409660e-06
44	3.619311e-06
45	3.585915e-06
46	3.421300e-06
47	3.677590e-06
48	3.550736e-06
49	3.407135e-06
50	3.700910e-06
51	3.486972e-06
52	3.374102e-06
53	3.693579e-06
54	3.408912e-06
55	3.340794e-06
56	3.670557e-06
57	3.336947e-06
58	3.328725e-06
59	3.649018e-06
60	3.288702e-06
61	3.352817e-06
62	3.640190e-06
63	3.272074e-06
64	3.415436e-06
65	3.645046e-06
66	3.283037e-06
67	3.506051e-06
68	3.655069e-06
69	3.308515e-06
70	3.605836e-06
71	3.656938e-06
72	3.332486e-06
73	3.694697e-06
74	3.638597e-06
75	3.342457e-06
76	3.757761e-06
77	3.594122e-06
78	3.333713e-06
79	3.789075e-06
80	3.525664e-06
81	3.310083e-06
82	3.791729e-06
83	3.442229e-06
84	3.281518e-06
85	3.775090e-06
86	3.356309e-06
87	3.260005e-06
88	3.750780e-06
89	3.280004e-06
90	3.255634e-06
91	3.729058e-06
92	3.222068e-06
93	3.274107e-06
94	3.716645e-06
95	3.186575e-06
96	3.316092e-06
97	3.716182e-06
98	3.173151e-06
99	3.378060e-06
100	3.726958e-06
101	3.178200e-06
102	3.453912e-06
103	3.746241e-06
104	3.196498e-06
105	3.536710e-06
106	3.770659e-06
107	3.222624e-06
108	3.620062e-06
109	3.797280e-06
110	3.251965e-06
111	3.698977e-06
112	3.824236e-06
113	3.281227e-06
114	3.770185e-06
115	3.850944e-06
116	3.308555e-06
117	3.832062e-06
118	3.878038e-06
119	3.333405e-06
120	3.884320e-06
121	3.907138e-06
122	3.356315e-06
123	3.927605e-06
124	3.940575e-06
125	3.378679e-06
126	3.963099e-06
127	3.981109e-06
128	3.402558e-06
129	3.992157e-06
130	4.031636e-06
131	3.430493e-06
132	4.015946e-06
133	4.094785e-06
134	3.465244e-06
135	4.035003e-06
136	4.172292e-06
137	3.509326e-06
138	4.048633e-06
139	4.263990e-06
140	3.564251e-06
141	4.054088e-06
142	4.366345e-06
143	3.629512e-06
144	4.045749e-06
145	4.470750e-06
146	3.701681e-06
147	4.014950e-06
