#ParticleID	Turn	x[m]	xp	y[m]	yp	z[m]	dE[GeV]
0	-1	0.005000	0.000000	0.000000	0.000000	100.517169	0.000000
0	-1	0.005000	0.000000	0.000000	0.000000	100.517169	0.000000
0	0	0.002437	-0.000855	0.000000	-0.000000	100.514602	-0.000000
0	1	-0.007790	0.000973	-0.000000	0.000000	100.514759	-0.000000
0	2	0.006438	-0.000264	-0.000000	0.000000	100.516885	-0.000000
0	3	0.000366	-0.000669	-0.000000	0.000000	100.513999	-0.000000
0	4	-0.006855	0.001026	-0.000000	0.000000	100.514824	-0.000000
0	5	0.007450	-0.000511	-0.000000	0.000000	100.516338	-0.000000
0	6	-0.001742	-0.000439	-0.000000	0.000000	100.513316	-0.000000
0	7	-0.005461	0.001012	0.000000	0.000000	100.514751	-0.000000
0	8	0.007977	-0.000726	0.000000	0.000000	100.515539	-0.000000
0	9	-0.003746	-0.000179	0.000000	0.000000	100.512568	-0.000000
0	10	-0.003708	0.000931	0.000000	0.000000	100.514509	-0.000000
0	11	0.007986	-0.000894	0.000000	-0.000000	100.514505	-0.000000
0	12	-0.005506	0.000092	0.000000	-0.000000	100.511761	-0.000000
0	13	-0.001719	0.000791	0.000000	-0.000000	100.514066	-0.000000
0	14	0.007472	-0.001003	0.000000	-0.000000	100.513256	-0.000000
0	15	-0.006898	0.000356	0.000000	-0.000000	100.510899	-0.000000
0	16	0.000372	0.000598	-0.000000	-0.000000	100.513395	-0.000000
0	17	0.006465	-0.001044	-0.000000	-0.000000	100.511816	-0.000000
0	18	-0.007820	0.000594	-0.000000	-0.000000	100.509980	-0.000000
0	19	0.002425	0.000366	-0.000000	0.000000	100.512474	-0.000000
0	20	0.005022	-0.001013	-0.000000	0.000000	100.510214	-0.000000
0	21	-0.008205	0.000791	-0.000000	0.000000	100.508994	-0.000000
0	22	0.004306	0.000109	-0.000000	0.000000	100.511290	-0.000000
0	23	0.003235	-0.000913	-0.000000	0.000000	100.508478	-0.000000
0	24	-0.008027	0.000934	0.000000	0.000000	100.507929	-0.000000
0	25	0.005894	-0.000156	0.000000	0.000000	100.509837	-0.000000
