#	Qy	beta_x_ptc	beta_x	beta_x_eff	beta_y_ptc	beta_y	beta_y_eff	alpha_x_ptc	alpha_x	alpha_x_eff	alpha_y_ptc	alpha_y	alpha_y_eff	D_x_ptc	D_x	D_y_ptc	D_y
6.07		8.394003463991467	10.758741794816958		24.25812972124533	24.25812900068092		0.09494016969245705	-0.0903977145803502		0.028911008609906703	0.02891101864671029		3.4105513098362543		3.894379185517653e-08
6.08		8.708286729183827	11.670328255761211		24.16839768942765	24.16839672427947		0.07946471956476579	-0.08582703877146283		0.0298091467777196	0.02980914993748392		3.283853441633427		-1.6034580020930179e-06
6.09		9.032784558742966	12.524037028340047		24.073361910869952	24.073360879202447		0.06621276615003152	-0.07626111163734424		0.030729883940520928	0.030729892309368283		3.1663951421572083		-1.115807284249341e-06
6.1		9.399867390714371	13.314310381195943		23.964533160657354	23.964531931414182		0.05453415926070188	-0.06464854602071507		0.03176127978144148	0.031761289242922874		3.0648420633046176		-2.1091450414330707e-06
6.11		9.81505304121718	13.995093479076372		23.85424051924806	23.85423915361055		0.044041249911320454	-0.05258770122560416		0.03279985972617165	0.03279987034323106		2.9802558144715183		-4.772279146403814e-06
6.12		10.259924073989835	14.567437726006675		23.7272113160871	23.72721017857249		0.03444655377771064	-0.04177356319519536		0.03398321534703865	0.03398322381947462		2.907693019575976		-7.177485201322374e-06
6.13		10.672865484475587	15.00731106185243		23.606226646832162	23.60622561815191		0.02646927739735752	-0.03275767440563894		0.03512308463163282	0.035123091193636595		2.8456978265552255		7.1281520163150744e-06
6.14		11.046993746565482	15.348107733881031		23.47912207724786	23.47912125924191		0.019831167246733963	-0.025545783701886052		0.03630292440921215	0.03630293244096726		2.790859909624802		-4.6800680492703475e-08
6.15		11.359511019253874	15.610018514122615		23.3574957557102	23.357494944234254		0.014717326140394312	-0.019676546552782857		0.03743631684202831	0.037436323423418065		2.7415926975644336		8.644617839412422e-06
6.16		11.618268536499134	15.816985975818008		23.2453856341838	23.245385090460896		0.010812784493718515	-0.014827600526220296		0.03848237473612636	0.038482376128553625		2.6965805277242407		8.666252155001297e-06
6.17		11.831317088827735	15.971415127074023		23.138855945291812	23.138855290628065		0.007887953301228174	-0.010709742897535353		0.03945838121386767	0.039458384594416154		2.6556961455446224		4.960717057444899e-06
6.18		8.469621469523224	12.619273428474218		26.241911023813913	26.241907810994537		0.08087020614528506	-0.06409810003694091		-0.005633718017399714	-0.005633686693042419		3.2461373347079494		2.4192006032738668e-05
6.19		12.165142064083902	16.199705636851878		22.94285747960047	22.942857020822835		0.0038908272377804125	-0.004319489877500304		0.041238677981921885	0.04123868178535598		2.5833867377832256		-1.1739619500046247e-07
6.2		12.298633658877456	16.310634285817628		22.85183321206868	22.851832853980063		0.0025206572457230746	-0.001824179752989762		0.04205208697115897	0.04205209046459274		2.550996227198573		7.808612298156221e-08
6.21		12.417464319120704	16.38793500697962		22.763701472111915	22.763701083150963		0.0013920706296361995	0.00031512852672848713		0.04283043541275512	0.04283043864772137		2.5202485644118187		2.1546832524519833e-06
